link,Business Name,Phone Number,Website,Address,Typical Job Cost,Socials
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/gutenhaus-pfvwru-pf~1169230981,GutenHaus,+73472997929,https://www.houzz.ru/trk/aHR0cDovL2d1dGVuaGF1cy5ydQ/2c4d389fc9fe217c3d5b49df947debf7/ue/NTA4NDQ2MDU/67e65897775aef5d5cecd9f94325deca,Уфа 450000Россия,25 000 - 50 000 ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/fedotova-irina-sketchinggo-pfvwru-pf~253462724,Федотова Ирина/SKETCHINGGO,+79110800864,https://www.houzz.ru/trk/aHR0cDovL3NrZXRjaGluZ2dvLnJ1/9b0b9e27e743462a8bf221f4c8a65725/ue/MjgyODQ4MjQ/6e1a79910e08d61b46846ebecd73b9ad,Санкт-Петербург 199155Россия,100 000 - 10 миллиона ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/arhitekturnaya-studiya-avtor-pfvwru-pf~722942026,Архитектурная студия АВТОР,+79119238984,https://www.houzz.ru/trk/aHR0cDovL2F1dGhvci1zLnJ1Lw/2e0d57f296f6e1a43726421f335fcffc/ue/MjMzNzE1OTQ/989c9cd608ca53a7442361d22b0e329e,Автовская 17Санкт-Петербург 196143Россия,1 700 - 3 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/gotov-remont-pfvwru-pf~692538599,готов ремонт,+79675556599,https://www.houzz.ru/trk/aHR0cDovL2dvdG92cmVtb250LnJ1/793b7c30cfad7524df526a67fd8a8b8f/ue/NzM2NTE1OTU/43d69715dbbeb590efcdd5299e2ac47a,"ул.Кирова, д.135Тула 300000Россия",5 000 - 15 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/78stroykaru-pfvwru-pf~152956735,78stroykaru,+79219327789,https://www.houzz.ru/trk/aHR0cDovLzc4c3Ryb3lrYS5ydQ/362f8539fa37c7cec1d2c41c2e4b18c4/ue/MzAwMDkzNzE/47ec423d24bfad094710a570112205a1,Sankt-Petersburg 198206Россия,10 000 - 45 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/mastersiti-pfvwru-pf~219866149,Мастерсити,+73472661753,https://www.houzz.ru/trk/aHR0cHM6Ly9tczAyLnJ1Lw/615a67ecb213a3796d9bb629759c6585/ue/Mjg5MjQzMTM/1a6a0f4858ed240c63ef19a533171433,"ул.Рихарда Зорге, 15/1Уфа, Башкортостан 450059Россия",6 500 - 12 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ooo-tverystroy-pfvwru-pf~724320938,"ООО ""ТверьСтрой""",+79622470810,,Тверь 170023Россия,5 000 - 15 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/eqwer-remont-kvartir-pfvwru-pf~437731602,EQWER | Ремонт квартир,+74953690007,https://www.houzz.ru/trk/aHR0cDovL2Vxd2VyLnJ1/6a29e960e3f853615f2bb47da81228be/ue/MjMyNjgwNTA/ab49e3ac05edb5374101f8af9f8b8013,"Ермакова Роща, 16Ас1Москва 123290Россия",9 000 - 30 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/sdm-derevyannyy-dom-pfvwru-pf~1327610096,СДМ Деревянный Дом,+74956657070,https://www.houzz.ru/trk/aHR0cDovL3NkbWRvbS5ydQ/51b72a726c0ccb7df3d9be2b5a9ce377/ue/MzQzNzkwMDA/abd04270b0982d1dcfcfd8a92a8cffa0,Волоколамское шоссе 116 корпус 3 офис 104Москва 125310Россия,50 000 - 120 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/sk-dekart-pfvwru-pf~919003852,СК Декарт,+74955023635,https://www.houzz.ru/trk/aHR0cHM6Ly9zay1kZWthcnQucnUv/70718ef9e449b1ce7ec1b70c7d0e56a9/ue/NzUwNTI4MDQ/1823f99e23151bf60b4d072c27625a43,"Люберцы, микрорайон Городок Б, ул. 3-е Почтовое отделение, 102Люберцы 140008Россия",,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/dolinin-rostislav-pfvwru-pf~1201326740,Долинин Ростислав,+79032351865,,Москва 124482Россия,10 000 - 50 000 ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/ram-house-pfvwru-pf~724266950,Ram House,+79227702840,https://www.houzz.ru/trk/aHR0cDovL3JhbS1ob3VzZS5ydQ/8b1c66186824fd1821b54beaa1d05a28/ue/NDQxNjUwMDI/e0d2479507799c56325e000a0803e679,Летниковская 4ст5Москва 114115Россия,35 000 - 45 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/sk-mera-pfvwru-pf~1478633419,СК МЕРА,+78123177800,https://www.houzz.ru/trk/aHR0cDovL3d3dy5za21lcmEucnU/43676103c400ac6d544654b6dc2ed6bc/ue/MzcwNTQzMjM/c77041e8ac3abb1a35797c9b8e021b38,"пр. Стачек, д. 16, пом. 32НСанкт-Петербург 198095Россия",40 000 - 100 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/elitdomstroy-pfvwru-pf~1453484212,Элитдомстрой,+79031306461,https://www.houzz.ru/trk/aHR0cDovL3d3dy5lbGl0ZG9tc3Ryb3kucnU/e9d7c8f1134a373f62384a47fc19960b/ue/MzY4MDI3NDA/8f5538a54e14152f2093f0f3031628ea,Москва 125009Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/derevyannyy-dom-pfvwru-pf~1889577099,Деревянный Дом,+74952953045,,Москва 125212Россия,20 000 - 55 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ooo-terem-vk-tvery-pfvwru-pf~632592521,"ООО ""Терем ВК Тверь""",+79036306739,https://www.houzz.ru/trk/aHR0cDovL3RlcmVtdmsucnU/a43b61d212658a4d96122c7d24d612c6/ue/NTY1Mjk3NDE/4cc0cef14bb691d089f7bb0d9bde8da3,Москва 127254Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ooo-stroydomtrast-pfvwru-pf~1260590814,"ООО ""СтройДомТраст""",+74955175286,https://www.houzz.ru/trk/aHR0cDovL3d3dy5zdHJveWRvbXRydXN0LnJ1/0e694842dbcc06efca75edb75419be37/ue/MzYwNzUwNjY/ce659cc350b41729fafcef3a7b633f41,Москва 129154Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/remcom-pfvwru-pf~1227020611,REMCOM,+79623650244,https://www.houzz.ru/trk/aHR0cDovL3d3dy5kb21yZW1jb20ucnU/8a5d9df8f7b7dd4379e1de64c92366db/ue/MzczOTIzNzk/976bc4021a2da4d969760cc14db63f23,улица авиамоторная 50 стр2Москва 1101101Россия,17 000 - 35 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/artur-aran-pfvwru-pf~346987813,Артур         «АрАн»,+79037551178,,МоскваЦветной БульварМосква 127015Россия,,
https://www.houzz.ru/hznb/professionaly/stroitelynye-kompanii/dom-eksklyuziv-pfvwus-pf~663746260,Дом-Эксклюзив,+78124073334,https://www.houzz.ru/trk/aHR0cDovL3d3dy5kb20tZXhjbHVzaXZlLnJ1Lw/88cd18f8f9e52fda013d58fef84bcbbc/ue/MTUyMzQ3MDA/0a5c8b0f64db4566fe4de91f6b55027b,"ул. Ленсовета, д. 3, лит. А, офис 17Санкт-Петербург 196135Россия",,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/atlant-master-pfvwru-pf~1262126970,Атлант-Мастер,+79219030989,https://www.houzz.ru/trk/aHR0cDovL2RtLmF0bGFudC1tYXN0ZXIucnUv/f9a6f548ccb997b1a31494e2f7631065/ue/NjI4NzY3OTQ/90731cb4dbefe37ea272c18f3997f3c7,"Пулковская ул.,д.2к.1Санкт-Петербург 196158Россия",7 000 - 50 000 ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/alyfa-kub-pfvwru-pf~1295313205,АЛЬФА КУБ,+79101197010,https://www.houzz.ru/trk/aHR0cDovL2FsZmEtY3ViZS5ydQ/3b85c5b54acfe5e04d6c0718a8a21e9f/ue/NTYxOTkzNTM/9595fe6fdc86afd3abd0ba72730aa386,"г. Москва, ул. Марксисткая д.20, стр.1Москва 109147Россия",,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/paleks-doma-iz-kleenogo-brusa-pfvwru-pf~723657162,ПАЛЕКС дома из клееного бруса,+74959810824,https://www.houzz.ru/trk/aHR0cDovL3d3dy5wYWxla3Mtc3Ryb3kucnU/d5cb3a54ff39b6a86ad77cf901fae157/ue/MzcwMjk3MDY/e5b3199a8006a21cdf11ef6851aebde2,"ул. Обручева 23, к. 3, БЦ ГазфилдМосква 117630Россия",,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/sergey-rodykin-ooo-monolit-pfvwru-pf~1547230389,"Сергей Родькин ООО ""Монолит""",+79277129789,https://www.houzz.ru/trk/aHR0cDovL1NLLU1PTk9MSVQuU1U/6025f5aec4c228e9d80008870b1b0eeb/ue/NjA0Nzc2MTc/30620b805cff83e9c3e4401822b63050,"г.Самара, проспект Кирова 415самара 443105Россия",6 000 - 25 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/finstroyhaus-pfvwru-pf~1639207359,ФинСтройХаус,+78126168200,https://www.houzz.ru/trk/aHR0cDovL3d3dy5maW5zdHJvaWhvdXNlLnJ1/ab805f353c6ce74c77f6bd5d1746a567/ue/NTU3MDU2NDc/068d679fc3379aa182cdc6dd09e500d3,"Сестрорецк,ул.Токарева, д.24Санкт-Петербург 197706Россия",,
https://www.houzz.ru/hznb/professionaly/proektirovanie-i-stroitelystvo/redo-dom-skandinavskie-doma-pod-klyuch-pfvwru-pf~439375086,REDO DOM - скандинавские дома под ключ,+74950210040,https://www.houzz.ru/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL3JlZG9kb20ucnUv/93cfe621078549c7e4e4eaf79805fc1f/ue/NTE1MzMwNzQ/a19913f765b4e975a742d5ded7876f70,Москва 143081Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/iso-komplekt-pfvwru-pf~1924730706,ИСО-Комплект,+79161936382,https://www.houzz.ru/trk/aHR0cDovL2lzby0xMC5ydS8/b23cf247b2a8f5f78e969b47b1660007/ue/NTkyNDAxNjY/c582efbc3955397ff0c7901c58725ff0,"МО 10 км от МКАД по Новорижскому шоссе. Выставочная площадка ""Балтия Гарден""Москва 143421Россия",,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/inzhenernoe-proektirovanie-b2b-pfvwru-pf~1831203313,Инженерное проектирование B2B,+79166337463,https://www.houzz.ru/trk/aHR0cDovL2V3LWIyYi5ydQ/9072f59b8e5517c5e3eaea758ee7505d/ue/MzgyNzQyODE/988a426db07f60c63100b5259c623a34,Москва 125222Россия,50 000 - 5 миллиона ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/neolitart-neolitart-pfvwru-pf~1797035626,Неолитарт | Neolitart,+74952293136,https://www.houzz.ru/trk/aHR0cDovL3d3dy5uZW9saXRhcnQucnUv/c2f3db5c1759867226a636bb1f866b13/ue/MzEzNTgzMTQ/4b295255c8ba82c086c708fb47c03b37,Москва 121165Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/g-house-ru-pfvwru-pf~185087826,G-House.ru,+79038125819,,Калуга 248921Россия,16 000 - 35 000 ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/gubarevich-kirill-ab-vasha-novyy-stily-pfvwru-pf~438245498,"Губаревич Кирилл АБ  ""ВАШЪ НОВЫЙ СТИЛЬ""",+79161142673,https://www.houzz.ru/trk/aHR0cHM6Ly9ndWJhcmV2aWNoLnJ1L3BvcnRmb2xpby9zdGlsLWxha3NoZXJpLw/4e4ecf247f076f826799fd791a846265/ue/MzE4OTA1MTQ/adcfdbd9cef7b596c4bcb2cfe0a2bc20,"Г. Москва, Проспект Вернадского, Д 59МОСКВА 117415Россия",РУБ1500 кв.м - 4000 кв.м,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/ooo-profi-sk-pfvwru-pf~1638930835,"ООО "" Профи СК""",+79636760404,https://www.houzz.ru/trk/aHR0cDovL3Byb2Z5Y2sucnUv/c58c65887398a759c807ec626575ba27/ue/NTE4MDY5NTk/c775357ebb1614f58e5b032a9892d9fb,Москва 117418Россия,6 000 - 10 000 ₽,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/tsentr-karkasnyh-tehnologiy-pfvwru-pf~1386807654,Центр Каркасных Технологий,+79282707018,https://www.houzz.ru/trk/aHR0cDovL2NrdC1kb20ucnU/5fd6f7698f9a3647650376c41378f681/ue/NDI0MDUzMDI/53e666de0e3fd818a1edcc3a6ac68de8,Ростов-на-Дону 344012Россия,"1,4 миллиона - 24 миллиона ₽",
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/yana-mirskaya-pfvwru-pf~26755103,Яна Мирская,+79025440952,https://www.houzz.ru/trk/aHR0cDovL21pcnlhbmthLmdhbGxlcnkucnUv/c0daff649d9c31630cfa5532f97e7068/ue/MjY0MTc2OTU/b6d7e07b717475c0742553f3d19610b1,Иркутск 664009Россия,20 000 - 100 000 ₽,
https://www.houzz.ru/professionaly/proektirovanie-i-stroitelystvo/neolitart-neolitart-pfvwru-pf~1797035626,Неолитарт | Neolitart,+74952293136,https://www.houzz.ru/trk/aHR0cDovL3d3dy5uZW9saXRhcnQucnUv/c2f3db5c1759867226a636bb1f866b13/ue/MzEzNTgzMTQ/4b295255c8ba82c086c708fb47c03b37,Москва 121165Россия,,
https://www.houzz.ru/professionaly/stroitelynye-kompanii/mos-haus-pfvwru-pf~1674030378,Мос.Хаус,+74951034633,https://www.houzz.ru/trk/aHR0cHM6Ly9tb3MuaGF1cy8/cc712975ca7797f668e5f14834f5613d/ue/NzQzMDM4NTQ/5dc20d3c8b7f248236c90954317fc9c2,"Краснодарский КрайТульская область, Заокский районпос. Велегож Парк Эко 350089Россия","955 000 - 3,3 миллиона ₽",
https://www.houzz.ru/professionaly/stroitelynye-kompanii/finstroyhaus-pfvwru-pf~1639207359,ФинСтройХаус,+78126168200,https://www.houzz.ru/trk/aHR0cDovL3d3dy5maW5zdHJvaWhvdXNlLnJ1/ab805f353c6ce74c77f6bd5d1746a567/ue/NTU3MDU2NDc/068d679fc3379aa182cdc6dd09e500d3,"Сестрорецк,ул.Токарева, д.24Санкт-Петербург 197706Россия",,
https://www.houzz.ru/hznb/professionaly/proektirovanie-i-stroitelystvo/redo-dom-skandinavskie-doma-pod-klyuch-pfvwru-pf~439375086,REDO DOM - скандинавские дома под ключ,+74950210040,https://www.houzz.ru/trk/aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL3JlZG9kb20ucnUv/93cfe621078549c7e4e4eaf79805fc1f/ue/NTE1MzMwNzQ/a19913f765b4e975a742d5ded7876f70,Москва 143081Россия,,
